ques,factoid_ans,target-1,target-2,target-3,target-4
who unveils the proposal ?,sepp blatter,sepp blatter unveils the proposal .,,,
what was voted as britain 's ugliest building ?,the bullring shopping centre in birmingham,the bullring shopping centre in birmingham was voted as britain 's ugliest building .,,,
what is mentally competent ?,21-year-old idaho man charged with trying to assassinate president obama,the 21-year-old idaho man charged with trying to assassinate president obama is mentally competent .,mentally competent is a 21-year-old idaho man charged with trying to assassinate president obama .,,
who used her own name ?,his wife,his wife used her own name .,,,
who announced he will run for president ?,"sen . benigno "" noynoy "" aquino iii","sen . benigno "" noynoy "" aquino iii announced he will run for president .",,,
what did seymore say we want to relive ?,"michael jackson 's youth ,",seymore said that we want to relive michael jackson 's youth .,michael jackson 's youth said seymore that we want to relive .,,
what does batt believe is beneficial ?,""" we have to work toward acceptance on all levels , ""","batt believes that "" we have to work toward acceptance on all levels "" is beneficial .",""" we have to work toward acceptance on all levels , "" batt believe is beneficial .",,
who runs the celebrity 100 list ?,forbes,forbes runs the celebrity 100 list .,,,
what did the posts say about islam ?,""" loneliness leads me to other problems ""","the posts said "" loneliness leads me to other problems "" .","the posts say about islam "" loneliness leads me to other problems "" .",,
what is education the key to ?,a medical school,education is the key to a medical school .,,,
what advantage will january shoppers have ?,rock-bottom prices,january shoppers have rock-bottom prices .,"in january , shoppers have rock-bottom prices .",rock-bottom prices advantage will january shoppers have .,
what was the world 's ugliest building on the forbes list ?,the bullring shopping centre,the bullring shopping centre was the world 's ugliest building on the forbes list .,the world 's ugliest building on the forbes list was the bullring shopping centre .,,
how long is the cable ?,"17,000 kilometer","the cable is 17,000 kilometer .",,,
what is the rule ?,"containers no larger than 3 ounces are allowed in carry-on luggage , provided they are packed into one quart-size clear plastic zip-top bag , with one bag allowed per person .","the rule is that containers no larger than 3 ounces are allowed in carry-on luggage , with one bag allowed per person .","The rule is that containers no larger than 3 ounces are allowed in carry-on luggage , provided they are packed into one quart-size clear plastic zip-top bag , with one bag allowed per person .",,
who pleaded guilty to illegally entering senator 's office ?,james o 'keefe,james o 'keefe pleaded guilty to illegally entering senator 's office .,James o 'keefe pleaded guilty to illegally entering the senator 's office .,,
how many strollers were affected by the recall ?,one million,one million strollers were affected by the recall .,,,
in which publication did the article appear ?,wednesday 's wall street journal,the article appeared in wednesday 's wall street journal .,,,
what does abby miller do ?,sings for her friend taylor love,abby miller sings for her friend taylor love .,,,
what kind of treatment is there for a silent heart attack ?,"beta blockers , statin drugs , aspirin or other medications","there is beta blockers , statin drugs , aspirin or other medications , for a silent heart attack .","treatment for a silent heart attack are beta blockers , statin drugs , aspirin or other medications .",,
what is the rating of sixth album ?,"flat , but a hit with teens","the rating of sixth album is flat , but a hit with teens .","The rating of the sixth album is flat , but a hit with the teens .",,
what kind of clothes did renee zellweger wear for her role ?,from the early 50s,renee zellweger wear clothes from the early ' 50s for her role .,,,
where did errol barnett have an encounter with a bull elephant ?,mosi-oa-tunya national park in zambia,errol barnett had an encounter with a bull elephant in zambia .,Errol Barnett had an encounter with a bull elephant at mosi-oa-tunya national park in Zambia .,,
where was the system previously tested ?,"several u.s. airports including minneapolis-st . paul , minnesota ; denver , colorado ; and boston , massachusetts","the system was previously tested at several u.s. airports including minneapolis-st . paul , minnesota ; denver , colorado , colorado ; and boston , massachusetts .",,,
what was the death toll ?,90,the death toll was 90 .,,,
who was attacked ?,rihanna,rihanna was attacked .,,,
how many dead in flood ?,two,two are dead in the flood,Two people died in the flood .,,
what people were the detectives in a major cop drama ?,warren kole and michael ealy,warren kole and michael ealy were the detectives in a major cop drama .,The detectives in a major cop drama were Warren Kole and Michael Ealy .,,
what is the number of the employees ?,"67,100","the number of the employees is 67,100 .",,,
where does the team rank ?,second from the bottom of the german bundesliga,the team ranks second from the bottom of the german bundesliga .,The team does rank second from the bottom of the German bundesliga .,,
where is reinhold messner from ?,italian,reinhold messner is italian .,reinhold messner is from italy .,,
who in isaac toussie 's family might have been responsible for him getting pardoned ?,father,isaac toussie 's father might have been responsible for him getting pardoned,,,
who was captured monday 8 miles from prison ?,three inmates,three inmates were captured on monday 8 miles from prison .,,,
"who said "" being in eternal city gave film feeling it could n't get on back lot "" ?",tom hanks,"tom hanks said "" being in eternal city gave film feeling it could n't get on back lot .","Tom Hanks said "" being in the eternal city gave the film the feeling it ca n't get on back lot "" .",,
how did corey smith and marquis cooper go missing ?,boat,corey smith and marquis cooper went missing on a boat .,Corey Smith and Marquis Cooper went missing by boat .,,
where did natasha richardson sail ?,caribbean,natasha richardson sailed in the caribbean .,,,
where can the device currently only be used ?,at & t. a,the device can currently only be used at & t. a .,at & t. a can the device currently only be used .,,
who scores only goal to give palermo a 1 - 0 victory over livorno ?,fabrizio miccoli,fabrizio miccoli scores only goal to give palermo a 1 - 0 victory over livorno .,,,
what did alvaro uribe say ?,he 's releasing the information to help the government 's fight against fraud,alvaro uribe said he 's releasing the information to help the government 's fight against fraud .,,,
when did edo become tokyo ?,1868,edo became tokyo in 1868 .,,,
what was the problem ?,"hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country","the problem was that hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country .","The problem is hundreds of poor , rural and indigenous pregnant women are dying because they are being denied the same health services as other women in the country .",,
what is the court determining ?,decision will determine whether politically charged documentaries can be regulated by the government in the same way as traditional campaign commercials,the court will determine whether politically charged documentaries can be regulated by the government in the same way as traditional campaign commercials .,,,
what did the us stafe department say that cuba rejected ?,u.s. assistance,the us stafe department say that cuba rejected u.s. assistance .,The US stafe department said that Cuba rejected U.S. assistance .,,
what is the governments rule for liquids and gels ?,containers no larger than 3 ounces are allowed in carry-on luggage,the governments rule for liquids and gels is that containers no larger than 3 ounces are allowed in carry-on luggage .,The government 's rule for liquids and gels is that containers no larger than 3 ounces are allowed in carry-on luggage .,,
who lived for a month on food-stamp budget ?,sean callebs,sean callebs lived for a month on food-stamp budget .,sean callebs lived for a month on a food - stamp budget .,,
what is included in the list ?,best-kept-secret careers,best-kept-secret careers is included in the list .,,,
what first lady honored women 's rights heroes ?,obama,obama honored women 's rights heroes .,Obama first lady honored women 's rights heroes .,,
how many years were they imprisoned ?,three,they were imprisoned for three years .,,,
what did laura bush call on myanmar junta to do ?,""" step aside , ""","laura bush called on myanmar junta to "" step aside , ""","Laura Bush called on the Myanmar junta to "" step aside , "" .",,
what cities have the highest quality of living ?,"vienna , austria","the cities of vienna , austria , have the highest quality of living .","The highest quality of living is in Vienna , Austria .",,
what will you learn ?,there is an economic role for government in a market economy whenever the benefits of a government policy outweigh its costs .,you will learn that there is an economic role for government in a market economy whenever the benefits of a government policy outweigh its costs .,,,
who left millions to their dogs ?,leona helmsley,leona helmsley left millions to their dogs .,,,
what is number of people slaughtered ?,"8,000","number of people slaughtered is 8,000 .",,,
what did officials say the terrorists are armed with ?,"hand grenades , bombs","officials said the terrorists are armed with hand grenades , bombs .",,,
what is a meat cube ?,"d slam , which is four patties stacked on a bun",a meat cube is four patties stacked on a bun .,"A meat cube is d slam , which is four patties stacked on a bun .",,
what did scientists say ?,debris wo n't threaten the international space station,scientists said that debris wo n't threaten the international space station .,Scientists say debris wo n't threaten the international space station .,,
who walked kate down the aisle at her wedding ?,mike,mike walked kate down the aisle at her wedding .,,,
what is the key to solving spain 's problems ?,a grand rethink of the whole euro currency project,the key to solving spain 's problems is a grand rethink of the whole euro currency project .,,,
where is mohammed 's home ?,"mumbai , india 's , garib nagar","mohammed 's home is at mumbai , india 's , garib nagar .","Mohammed 's home is in Mumbai , India , Garib Nagar .",,
what was the strength of the earthquake in the indian ocean ?,7.6-magnitude,the strength of the earthquake in the indian ocean was 7.6-magnitude .,,,
hleb was expected to be part of what ?,the swap deal that saw zlatan ibrahimovic and samuel eto 'o switch clubs,hleb was expected to be part of the swap deal that saw zlatan ibrahimovic and samuel eto 'o switch clubs .,,,
what kercher 's mother says ?,""" it is n't just the dna or on one specific thing , ""","kercher 's mother says that "" it is n't just the dna or on one specific thing , """,""" It is n't just the dna or one specific thing , "" Kercher 's mother says .",,
what led to the release ?,clerical error,clerical error led to the release .,A clerical error led to the release .,,
who was the striker ?,robin van persie,the striker was robin van persie .,,,
what kind of evidence was found ?,images of the small girl being sexually assaulted,images of the small girl being sexually assaulted was found .,images of the small girl being sexually assaulted kind of evidence was found .,,
ferrari president accuses critics of victory ?,hypocrisy .,ferrari president accuses critics of victory is hypocrisy .,,,
which transport has proved a success ?,"city 's cheap bike-hire scheme , velib ,","the city 's cheap bike-hire scheme , velib , has proved a success .","city 's cheap bike-hire scheme , velib , has proved a success .",,
does the film contain sex scenes ?,distinct lack of on-screen,the film contain a distinct lack of on-screen sex scenes .,,,
perlitz faces how many counts ?,10,perlitz faces 10 counts .,,,
who hopes to increase number of mental health providers in the field ?,army,army hopes to increase number of mental health providers in the field .,The army hopes to increase the number of mental health providers in the field .,,
nasa 's plans suffer from what ?,set-back .,nasa 's plans suffer from a set-back .,,,
who was evacuated from the building ?,the 32-floor,the 32-floor was evacuated from the building .,,,
what is being canceled ?,"3,000 u.s. troops","3,000 u.s. troops is being canceled .","3,000 u.s. troops are being canceled .",,
what does president obama want to keep americans aware of ?,"issues like jobs , education and health care","president obama wants to keep americans aware of issues like jobs , education and health care .","President Obama does want to keep Americans aware of issues like jobs , education and health care .",,
what is considered much broader than a public rift between the two men ?,abortion,abortion is considered much broader than a public rift between the two men .,,,
they are ahead of what groups ?,"people fleeing wars in afghanistan and somalia ,",they are ahead of people fleeing wars in afghanistan and somalia .,,,
israel scolds whom ?,mckinney,israel scolds mckinney .,,,
who is man united ?,manchester,man united is manchester .,,,
who was among the dignitaries at inauguration ?,latin american leaders and u.s. secretary of state hillary clinton,latin american leaders and u.s. secretary of state hillary clinton was among the dignitaries at inauguration .,"Among the dignitaries at the inauguration were Latin American leaders and the U.S. secretary of state , Hillary Clinton .",,
who is at high risk for death due to cholera ?,- - people,the - - people are at high risk for death due to cholera .,the people are at high risk for death due to cholera .,,
which social networks are wealthier people more likely to use ?,facebook,wealthier people are more likely to use facebook .,,,
who are charged with eight felonies ?,nicole smith 's longtime partner and attorney howard k. stern and two doctors,nicole smith 's longtime partner and attorney howard k. stern and two doctors are charged with eight felonies .,"Nicole Smith 's longtime partner and attorney , Howard K. Stern , and two doctors are charged with eight felonies .",,
what led her to more eating ?,the thyroid diagnosis,the thyroid diagnosis led her to more eating .,,,
where was charles smith captured ?,about eight miles away in southwestern michigan,charles smith was captured about eight miles away in southwestern michigan .,,,
what can poetry provide ?,look at the world from a slightly different angle,poetry can provide look at the world from a slightly different angle .,looking at the world from a slightly different angle is what poetry provides .,,
where did the prince also visit ?,kabul,the prince also visited kabul .,,,
what is the name of the fishing vessel ?,katmai,the name of the fishing vessel is katmai .,,,
what was gullberg 's cause of death ?,hypothermia,gullberg 's cause of death was hypothermia .,,,
how many people have been indicted and prosecuted ?,20,about 20 people have been indicted and prosecuted .,20 people have been indicted and prosecuted .,,
who is living in jordan ?,raghad hussein,raghad hussein is living in jordan .,,,
what did criminals block ?,roads,criminals block roads .,,,
who ruled an empire stretching from the gulf of mexico to the pacific ocean ?,the aztecs,the aztecs ruled an empire stretching from the gulf of mexico to the pacific ocean .,,,
what does steven gerrard deny ?,assaulting a man,steven gerrard deny assaulting a man .,,,
what was being smuggled ?,contraband,contraband was being smuggled .,,,
who have the highest quality of life ?,vienna,vienna have the highest quality of life .,The highest quality of life is in Vienna .,,
who is charged with trespassing into a restrictive area ?,"the american visitor , john yettaw ,","the american visitor , john yettaw , is charged with trespassing into a restrictive area .",,,
who closed streets ?,police,police closed streets .,,,
what have police recovered ?,two of the four impressionist paintings stolen,police have recovered two of the four impressionist paintings stolen .,,,
what are perfectly acceptable ?,separates,separates are perfectly acceptable .,perfectly acceptable are separates .,,
who issued a recall ?,infantino,infantino issued a recall .,,,
who will become the first south korean to play in the final ?,park ji-sung,park ji-sung will become the first south korean to play in the final .,,,
how many americans smoke ?,4.5 million,4.5 million americans smoke .,,,
how many chinese muslims remain at gitmo ?,thirteen,about thirteen chinese muslims remain at gitmo .,Thirteen Chinese muslims remain at Gitmo .,,
what happened to some christian priests and missionaries ?,abuse,some christian priests and missionaries were abused .,Abuse happened to some Christian priests and missionaries .,,
who has her style been compared with ?,"mariah , madonna","her style has been compared with mariah , madonna.",,,
who did chiquita admit paying ?,autodefensas unidas de colombia,"chiquita admit paying autodefensas unidas de colombia ,",,,
who is head of tripoli operations ?,lt . colonel mustapha nooh,the head of tripoli operations is lt . colonel mustapha nooh .,,,
what is just one strategy to achieve goals in afghanistan ?,reverse the taliban 's momentum,one strategy to achieve goals in afghanistan is to just reverse the taliban 's momentum .,reverse the taliban 's momentum is just one strategy to achieve goals in Afghanistan .,,
how many cases of unruly behaviour did faa report ?,900,faa reported 900 cases of unruly behaviour .,faa reported 900 cases,,
who was in the collaboration ?,lang lang,lang lang was in the collaboration .,,,
was her application accepted ?,granted conditional release,her application was accepted and she was granted conditional release .,Her application was accepted .,,
who credits obama with pulling back economy from disaster ?,valerie jarrett,valerie jarrett credits obama with pulling back economy from disaster .,Valerie Jarrett credits Obama with pulling the economy from disaster .,,
what did the media say ?,encountered problems shortly after takeoff,the media said that they encountered problems shortly after takeoff .,The media say they encountered problems shortly after takeoff .,,
what army rank is edwin donayre ?,general,edwin donayre is a general .,,,
medicare is a strong case of what ?,government playing a positive role in health care,medicare is a strong case of government playing a positive role in health care .,,,
what tv show is bryan batt on ?,""" mad men ""","bryan batt on "" mad men , """,,,
who was involved in the shootout ?,blackwater personnel,blackwater personnel was involved in the shootout .,Blackwater personnel were involved in the shootout .,,
what did bush say it was a reminder of ?,we are at war with extremists,bush said it was a reminder of we are at war with extremists .,,,
some have viewed stonehenge as what ?,part of a funeral complex,some have viewed stonehenge as part of a funeral complex .,,,
what two groups are fighting in northern ireland ?,catholic and protestant,catholic and protestant are fighting in northern ireland .,,,
what bridge has been debated ?,indian street,indian street has been debated .,,,
where are the malicious software being planted ?,twitter,the malicious software being planted in twitter .,,,
can the affects be undone ?,a cut of 40 percent in carbon emissions by 2020 is vital to avoid severe repercussions,a cut of 40 percent in carbon emissions by 2020 is vital to avoid severe repercussions and for the effects to be undone .,,,
who founded teh america 's promise alliance to support youth ?,colin powell,colin powell founded teh america 's promise alliance to support youth,,,
where is the breach said to have taken place ?,kashmir,the breach is said to have taken place in kashmir .,The breach is said to have affected Kashmir .,,
what did her father accuse her husband 's administration of doing ?,""" trades appointments to commissions for checks for $ 50,000 ""","her father accuse her husband 's administration of doing "" trades appointments to commissions for checks for $ 50,000 "" .",,,
what did luxembourg score ?,ranked highest in personal safety,luxembourg ranked highest in personal safety .,,,
what remain missing ?,"degas ' "" count lepic and his daughters "" and cezanne 's "" boy in a red vest .""","degas ' "" count lepic and his daughters "" and cezanne 's "" boy in a red vest . "" remain missing .",,,
who does obama scores win with ?,women voters,obama scores win with women voters .,,,
by how much does the bill cut the deficit over the next 10 years ?,$ 138 billion,the bill cuts the deficit over the next 10 years by $ 138 billion .,The bill will cut the deficit over the next 10 years by $ 138 billion .,,
who attacked the us embassy ?,al qaeda militants,al qaeda militants attacked the us embassy .,,,
who was detained ?,ahmed al-omran,ahmed al-omran was detained .,,,
the children have been a victim of what ?,bloody conflict between security forces and anti-government demonstrators,the children have been a victim of what bloody conflict between security forces and anti-government demonstrators .,a victim of a bloody conflict between security forces and anti-government demonstrators .,,
who has a warning to parents ?,food and drug administration,the food and drug administration has a warning to parents .,,,
what are death sentence down to,78 people,death sentences are down to 78 people .,,,
where was the site of bloody fighting between zetas ?,"the area , which borders texas","the site of bloody fighting between zetas is the area , which borders texas .",,,
what does the grateful dead plan ?,new tour,the grateful dead plan is a new tour .,The grateful dead are planning a new tour .,,
what did larry langford engage in ?,criminal activity,larry langford engaged in criminal activity .,,,
what did chinese authorities confirm ?,captive animals in two of china 's major panda reserves were alive,chinese authorities confirmed that captive animals in two of china 's major panda reserves were alive .,,,
what did hannah kerney claim ?,a first gold medal in saturday 's final event,hannah kerney claim a first gold medal in saturday 's final event .,,,
how many men were accomplices ?,four,four men were accomplices .,There were four .,,
who began the sunrise ceremonies ?,robert baden-powell,robert baden-powell began the sunrise ceremonies .,,,
what age is russell 's boy ?,year and a half,russell 's boy is a year and a half .,,,
what the discoveries include ?,"new , purple-spotted sea anemone","the discoveries include new , purple-spotted sea anemone .","new , purple-spotted sea anemone is what the discoveries includes .",,
federal investagators are involved why ?,fourteenth suspicious fire in a month 's time,federal investagators are involved because of fourteenth suspicious fire in a month 's time .,,,
what does obama need ?,to be wary of alienating teachers who can be his allies on education reform,obama needs to be wary of alienating teachers who can be his allies on education reform .,to be wary of alienating teachers who can be his allies on education reform is what Obama needs .,,
what was tokyo known as prior to 1868 ?,edo,"prior to 1868 , tokyo was known as edo",,,
what ew said about ` amelia ` hits ?,"is a frustratingly old-school , hollywood-style ,","ew said that  "" amelia "" hits  is a frustratingly old-school , hollywood-style .","a frustratingly old-school , hollywood-style , ew said about ` amelia ` hits.",,
which vehicle has the right of way on narrow lanes in italy ?,larger,larger vehicle has the right of way on narrow lanes in italy .,the right of way on narrow lanes in italy has larger vehicle .,,
whats the best solution according to phillips ?,provide military escorts for international shipping vessels,"according to phillips , the best solution is to provide military escorts for international shipping vessels .",provide military escort for international shipping vessels is the best solution according to phillips .,,
who was named to time 100 most influential list ?,"behar and her co-hosts on "" the view ""","behar and her co-hosts on "" the view "" was named to time 100 most influential list .","Behar and her co-hosts on "" The View "" were named to time 's 100 most influential list.",,
what was the two suspects arrested for ?,killing of six african immigrants in castelvolturno,the two suspects arrested for killing of six african immigrants in castelvolturno .,,,
where are more students leaving to study ?,mainland,more students are leaving to study in the mainland,,,
what did mulgrew say the nation must commit to develop a treatment ?,a major national investment,mulgrew said that the nation must commit to develop a major national investment .,"A major national investment , Mulgrew said the nation must commit to developing treatment .",,
what is a health problem ?,secondhand smoke,secondhand smoking is a health problem .,A health problem is secondhand smoke.,,
what is the name of the rebel group ?,the lord 's resistance army ( lra ),the rebel group is the lord 's resistance army ( lra ) .,The name of the rebel group is the Lord 's Resistance Army ( lra ) .,,
what does jennifer granholm say about the auto industry ?,we are doing everything we can to become the home of this new electric,jennifer granholm said we are doing everything we can to become the home of this new electric .,Jennifer Granholm does say about the auto industry that we are doing everything we can to become the home of this new electric.,,
what does the crew claim are tied to a lawsuit ?,""" knowingly sent their employees into pirate-infested waters , rather than taking safer routes . ""","the crew claim that "" knowingly sent their employees into pirate-infested waters , rather than taking safer routes . "" .","the crew claim are tied to a lawsuit "" knowingly sent their employees into pirate-infested waters , rather than taking safer routes . "" .",,
what did the law ban ?,transplants for money,the law banned transplants for money .,,,
who did carson motivate ?,others,carson motivated others .,,,
what animal is being used in libraries to increase children 's comfort with reading ?,dogs,dogs is being used in libraries to increase children 's comfort with reading .,,,
"who said that "" our operations are strong . "" ?",mary l. jeffries,"mary l. jeffries said that "" our operations are strong . """,,,
what is her sixth album ?,""" talk that talk , ""","her sixth album is "" talk that talk , "" .",,,
what hotels were hit in jakarta ?,ritz-carlton,hotels such as ritz-carlton were hit in jakarta .,The Ritz-carlton hotels were hit in Jakarta.,,
what caused serbian defender to sit out ?,suffering concussion,concussion caused serbian defender to sit out .,Suffering concussion caused the Serbian defender to sit out.,,
what city ranks last in quality of living and safety ?,baghdad,baghdad ranks last in quality of living and safety .,Baghdad city ranks last in quality of living and safety .,,
what did yanis plan to do ?,""" shoot students in the school and then himself ""","yanis plan to "" shoot students in the school and then himself """,,,
who scored for napoli against atalanta ?,edinson cavani,edinson cavani scored for napoli against atalanta .,,,
who did suzman campaign to be released ?,one of the first people,suzman campaigned for one of the first people to be released .,Suzman campaigned to be released as one of the first people .,,
who does renee zellweger play ?,woman based on george hamilton 's mother,renee zellweger plays a woman based on george hamilton 's mother .,Renee Zellweger does play a woman based on George Hamilton 's mother .,,
where are the engines ?,on the river bottom,the engines are on the river bottom .,,,
whose comments are a reaction ?,al-libi 's,al-libi 's comments are a reaction .,a reaction is al-libi 's comments .,,
what is the agency beset by ?,cronyism,cronyism ; the agency beset by cronyism .,The agency is beset by cronyism .,,
what is diane black head of ?,senate republican caucus .,diane black is head of senate republican caucus .,,,
who played jim phelps on mission : impossible ?,actor peter graves,actor peter graves played jim phelps on mission : impossible .,,,
clarkson 's voice is made for what kind of songs ?,anthems,clarkson 's voice is made for anthems,Clarkson 's voice is made for anthems kind of songs .,,
has china ever won and oscar ?,the country,china has won an oscar for the country .,,,
who is the founder and ceo of biocon ?,kiran mazumdar-shaw,kiran mazumdar-shaw is the founder and ceo of biocon .,The founder and ceo of Biocon is Kiran mazumdar-shaw .,,
where is camden hills state park ?,maine,camden hills state park is in maine .,,,
how many children await aid ?,nearly 100,nearly 100 children await aid .,,,
what did joan rivers say about life ?,""" how lucky i am ""","joan rivers said "" how lucky i am "" about life .","Joan Rivers says about life "" how lucky I am "" .",,
is it a horror movie ?,strange kind of,it is a strange kind of horror movie .,It is a horror movie .,,
what is the bluestonehenge name for ?,"the new find , dubbed "" bluestonehenge "" after the color of the 25 welsh stones of which it was once","the bluestonehenge name is for the new find , dubbed "" bluestonehenge "" after the color of the 25 welsh stones of which it was once .","The bluestonehenge name is a new find , dubbed "" bluestonehenge "" after the color of the 25 welsh stones of which it was once .",,
"how many electoral votes did obama 's opponent have , according to this reading ?",349 - 163,"obama 's opponent had 349 - 163 , according to this reading .","Obama 's opponents had , according to this reading , 349 - 163 .",,
what is the decision of patrick vieira ?,move from juventus,patrick vieira 's decision is to move from juventus .,The decision of Patrick Vieira is to move from Juventus .,,
who has comply ?,iran,iran has to comply .,Iran has comply .,,
what is the status of the case ?,all of the nine men arrested on thursday october 6 as part of an investigation into suspicious betting activity have now been released on police bail pending further inquiries,the status of the case is that all nine men arrested on thursday october 6 as part of an investigation into suspicious betting activity have now been released on police bail pending further inquiries .,,,